Ano,Mes,Dia,CANTIDAD MEDUSAS,PRECIPITACION,TEMP MAR,DIRECCION VIENTO,GRADOS VIENTO,HUMEDAD,OLAS,TEMP AIRE,VEL. VIENTO
2021,abril,16,0,0,13,ENE,60,59,0.8,13,16
2021,abril,17,0,0,13,N,5,78,0.5,10,13
2021,abril,18,0,0,13,NNE,20,75,0.3,11,8
2021,abril,19,0,1,13,NW,317,71,0.3,11,6
2021,abril,20,0,4,13,WNW,299,87,0.4,11,25
2021,abril,21,0,0,13,WNW,293,81,0.4,13,30
2021,abril,22,0,0,13,E,94,48,0.3,18,17
2021,abril,23,0,0,13,SSE,152,59,0.3,18,18
2021,abril,24,0,0,13,SSE,158,51,0.3,19,24
2021,abril,25,0,1,13,ESE,115,70,0.5,15,21
2021,abril,26,0,0,14,WNW,299,61,0.3,18,14
2021,abril,27,0,9,14,NW,315,97,0.5,12,18
2021,abril,28,0,0,14,NNW,346,74,0.5,13,12
2021,abril,29,0,0,14,NNW,347,76,0.2,12,9
2021,abril,30,0,0,14,NE,34,79,0.2,12,12
2021,mayo,1,0,0,14,WNW,296,82,0.8,13,22
2021,mayo,2,0,1,14,N,4,78,0.3,12,15
2021,mayo,3,0,0,14,NE,46,63,0.2,13,16
2021,mayo,4,0,0,14,NW,314,66,0.3,14,13
2021,mayo,5,0,0,14,NW,320,79,0.3,14,15
2021,mayo,6,0,0,14,NW,311,68,0.3,16,15
2021,mayo,7,0,0,14,NNE,29,64,0.4,17,10
2021,mayo,8,0,0,14,WNW,294,47,0.4,20,4
2021,mayo,9,0,0,14,NW,313,85,0.7,14,23
2021,mayo,10,0,0,14,NW,310,78,0.5,14,19
2021,mayo,11,0,0,14,NW,308,64,1,13,30
2021,mayo,12,0,0,14,NE,35,54,1.5,15,12
2021,mayo,13,0,5,14,WNW,296,74,0.5,12,32
2021,mayo,14,0,0,14,NW,307,69,0.6,13,27
2021,mayo,15,0,0,14,NNE,17,35,0.3,17,6
2021,mayo,16,0,0,14,NW,312,70,0.6,17,11
2021,mayo,17,0,0,14,WNW,294,68,0.6,14,34
2021,mayo,18,0,0,14,NE,42,69,0.5,15,14
2021,mayo,19,0,0,15,NE,43,54,0.5,15,12
2021,mayo,20,0,0,15,NW,312,81,0.3,16,18
2021,mayo,21,0,0,15,NW,309,63,0.5,15,18
2021,mayo,22,0,0,15,NW,322,76,0.7,13,15
2021,mayo,23,0,0,14,NW,319,69,0.2,14,11
2021,mayo,24,0,0,14,NW,318,87,1,14,14
2021,mayo,25,0,0,14,NNE,31,76,0.5,14,13
2021,mayo,26,0,0,14,ENE,59,68,0.3,15,19
2021,mayo,27,0,0,14,NE,55,61,0.7,19,21
2021,mayo,28,0,0,15,E,92,41,0.2,24,13
2021,mayo,29,0,0,15,NW,324,85,0.5,18,14
2021,mayo,30,0,0,15,NNE,22,81,0.3,17,12
2021,mayo,31,0,0,15,NE,50,77,0.3,19,18
2021,junio,1,0,6,15,WSW,250,61,0.4,23,15
2021,junio,2,0,0,15,NW,321,62,0.3,20,7
2021,junio,3,0,0,17,WNW,296,90,0.7,15,20
2021,junio,4,0,0,17,NE,45,89,0.7,16,15
2021,junio,5,0,6,17,NE,35,85,0.3,15,13
2021,junio,6,0,0,17,N,358,80,0.3,17,9
2021,junio,7,0,0,17,NNW,340,74,0.3,19,10
2021,junio,8,0,0,17,NNE,16,80,0.5,19,9
2021,junio,9,0,0,17,N,356,77,0.1,18,10
2021,junio,10,40,2,18,NNE,25,78,0.3,19,12
2021,junio,11,0,0,18,NW,326,89,0.2,17,13
2021,junio,12,0,0,19,NE,54,76,0.2,22,20
2021,junio,13,0,0,19,NE,50,69,0.5,22,15
2021,junio,14,0,0,18,N,352,78,0.2,21,10
2021,junio,15,100,0,18,NNE,25,83,0.2,20,13
